x_2a_over_lambda,lambda_nm,total,incoherent,cross_term,S1_real,S1_imag,S2_real,S2_imag
0.745,671.1409395973154,11.419915820151896,32.53592012860689,-21.116004308454993,0.5316077532446518,-2.3431706823520453,-2.0379037262022135,1.222214618198888
0.7475,668.8963210702341,11.208221925914973,32.53482757625183,-21.326605650336855,0.49479273811164587,-2.3420857691278085,-2.0112346636963716,1.19706785514527
0.75,666.6666666666666,11.001632749812815,32.53590266511288,-21.534269915300065,0.45735522502556386,-2.3408481958642784,-1.9845969951810039,1.172289827044539
0.7525000000000001,664.4518272425248,10.800287841952176,32.539222666977636,-21.73893482502546,0.4192830933482567,-2.3394753914570563,-1.9580022451075678,1.1478552306388943
0.755,662.2516556291391,10.604340344076546,32.54485947472352,-21.940519130646976,0.38056479798404835,-2.337986331514523,-1.9314608283181187,1.1237391872386842
0.7575000000000001,660.06600660066,10.413957350981946,32.55287977462709,-22.13892242364514,0.34118949928897563,-2.336401567040344,-1.9049821135593623,1.0999172428447572
0.76,657.8947368421052,10.216670098345851,32.54249307110506,-22.325822972759212,0.3009705917879423,-2.3337166766731707,-1.8773029597775064,1.0749822656457237
0.7625,655.7377049180328,10.025497349907791,32.53395082874404,-22.50845347883625,0.260055118310464,-2.330985213202213,-1.849673020678421,1.0502791713422306
0.765,653.59477124183,9.840166754734014,32.5263892026784,-22.686222447944388,0.2184272890447316,-2.3281961688216484,-1.8220443051650428,1.025725803338503
0.7675,651.4657980456027,9.661404306001955,32.520587289285274,-22.85918298328332,0.1760877403674287,-2.3254208593831667,-1.7944681847198551,1.0013486777682041
0.77,649.3506493506493,9.48994975876544,32.51739306674541,-23.027443307979972,0.13304107540780968,-2.3227331367082047,-1.7669989759832687,0.9771771720274258
0.7725,647.2491909385113,9.326072584966724,32.51683310771549,-23.190760522748768,0.08928690467074106,-2.320169064868612,-1.739640538899085,0.9531876727416557
0.775,645.1612903225806,9.17005237041332,32.51892453798689,-23.34887216757357,0.04482721493236287,-2.317766124308063,-1.7123956215198022,0.9293569387617008
0.7775,643.0868167202573,9.022178518213135,32.523677687777194,-23.50149916956406,-0.00033332291854162275,-2.3155631451532708,-1.6852660987941122,0.9056621357725703
0.78,641.025641025641,8.882750774419037,32.53110226219332,-23.648351487774285,-0.04618696098238338,-2.313600279321292,-1.658253459617371,0.882080920463486
0.7825,638.9776357827476,8.75207403903551,32.54119953645037,-23.78912549741486,-0.09272292792408844,-2.311918611853709,-1.6313582176789192,0.8585914019186154
0.785,636.9426751592356,8.630456183373031,32.55396418738708,-23.92350800401405,-0.13992709353056854,-2.3105598878150153,-1.6045801441613639,0.8351719329889372
0.7875,634.9206349206349,8.51820540394727,32.569384498795046,-24.051179094847775,-0.18778179175984228,-2.3095662417161757,-1.57791830188731,0.8118010903693229
0.79,632.9113924050632,8.415627357291976,32.58744242129899,-24.171815064007014,-0.23626568829861427,-2.3089799077139466,-1.5513710483684446,0.7884576956833169
0.7925,630.9148264984227,8.323023225082915,32.60811436961591,-24.285091144533,-0.2853537921335684,-2.308843045127514,-1.5249359435822152,0.765121297138718
0.795,628.9308176100628,8.24068507842875,32.631372091566185,-24.390687013137434,-0.3350171464078353,-2.3091971810094134,-1.4986100058614051,0.7417715413735956
