x_alaee,x_mie,C_pathB,C_mie_l12,B_ED,M_ED,B_MD,M_MD,B_EQ,M_EQ,B_MQ,M_MQ
0.3991959798994975,1.25411115779484,4.667004091689071,4.667009402308578,1.9009080667398865,1.9009051557577685,2.736756678132287,2.736764355170024,0.026235314107607384,0.02623589567521241,0.0031040327092893977,0.0031039957055730687
0.4041206030150754,1.269582317596438,4.602928107482151,4.602932528376493,1.9776097144642129,1.9776063309217589,2.591606963443409,2.591614081069602,0.029868299397607313,0.029869030929650084,0.003843130176921624,0.0038430854554822548
0.4090452261306533,1.285053477398036,4.539055099856946,4.539058561658194,2.0533830317304513,2.0533791454663217,2.446946044156249,2.446952569182199,0.03396653656044124,0.03396741344514191,0.004759487409805694,0.004759433564532116
0.4139698492462312,1.3005246371996342,4.483090299378112,4.483092763685969,2.1280535566834247,2.1280491398753947,2.3105535065211775,2.310559432392629,0.038585959219411416,0.03858697906134824,0.005897276954097152,0.005897212356597158
0.4188944723618091,1.3159957970012321,4.438645911723381,4.438647358631352,2.2014550612567056,2.2014500891167934,2.186089342309292,2.1860946755944135,0.04378899146387065,0.043790154457290106,0.007312516693513401,0.00731243946285561
0.42381909547738694,1.33146695680283,4.40687131321088,4.406871733471916,2.27342592123927,2.2734203728001945,2.074723491854291,2.0747282436715855,0.04964530373458367,0.04964661264837091,0.009076596382736243,0.009076504351764214
0.42874371859296484,1.3469381166044279,4.387573577869086,4.387572968562986,2.343804445036051,2.343798304052367,1.976255479971078,1.976259660962216,0.05623265975859561,0.05623411976704656,0.011280993103360833,0.011280883781355843
0.43366834170854274,1.3624092764060258,4.379912946390954,4.379911308979711,2.4124231162954306,2.4124163722909597,1.8898083313205571,1.8898119489022265,0.0636378661327193,0.06363948461275028,0.014043632642247752,0.014043503173774976
0.43859296482412063,1.377880436207624,4.382806515735002,4.382803855688912,2.479101692179615,2.479094341683992,1.8142294323853636,1.8142324893676673,0.0719578375288955,0.07195962387625474,0.01751755364112693,0.0175174007609975
0.44351758793969853,1.393351596009222,4.39515099590885,4.395147323388474,2.5436390857538935,2.5436311337868944,1.7483082881354282,1.7483107821160115,0.08130079201774403,0.08130275749935169,0.02190283000178336,0.02190264998621608
0.44844221105527643,1.40882275581082,4.415941136821045,4.4159364681378195,2.6058039521570047,2.6057954140425075,1.6908864328130941,1.6908883559870405,0.09178759267209151,0.09178975031512797,0.02746315917885362,0.027462947793144708
0.4533668341708543,1.424293915612418,4.444332905090236,4.444327264845866,2.6653239001607383,2.665314803786684,1.6409065335328046,1.640907872707606,0.10355325339616717,0.10355561790772905,0.034549218000526946,0.03454897044384665
0.45829145728643217,1.4397650754140157,4.479682470375058,4.479675894322442,2.7218732722816563,2.7218636609755675,1.5974286012161691,1.59742933791242,0.11674862878677932,0.11675121649565393,0.04363196809045311,0.043631678938800725
0.46321608040201007,1.4552362352156138,4.521581913401341,4.521574452207199,2.775059490062926,2.7750494263358756,1.559629314186743,1.5596294247591231,0.13154230970293085,0.13154513851461058,0.05535079944874163,0.055350462597588974
0.46814070351758796,1.4707073950172118,4.5699083254645725,4.569900049719703,2.8244080631886472,2.824397633734661,1.526793379178829,1.5267928349230795,0.14812274799447375,0.1481258373506642,0.07058413510262283,0.07058374371129826
0.47306532663316586,1.4861785548188098,4.624903494085827,4.6248945011464855,2.8693465336299115,2.869335856187306,1.4983017634317037,1.4983005306607895,0.16670063535667384,0.16670400619064812,0.09055456166753895,0.09055410810774148
0.47798994974874376,1.5016497146204077,4.687306628255343,4.68729705187488,2.9091878963629987,2.909177129410711,1.4736193158020792,1.4736173558844283,0.18751156229257676,0.18751523697154507,0.11698785379768847,0.11698732960819537
0.48291457286432166,1.5171208744220057,4.758573797629901,4.758563821963203,2.9431144377685348,2.943103794651486,1.4522830079285565,1.4522802772863523,0.21081898331920382,0.2108229855642749,0.1523573686136049,0.1523567644610891
0.48783919597989955,1.5325920342236037,4.84123771166637,4.841227592290467,2.970163492883889,2.970153263027216,1.4338913263448274,1.4338877764129525,0.23691751332223904,0.23692186809550292,0.20026537911541445,0.20026468475479645
0.4927638190954774,1.5480631940252016,4.939494698551714,4.939484794967715,2.989217364959222,2.9892079466698562,1.4180949767743698,1.418090553921721,0.26613657659049417,0.26614130993719554,0.26604578022762915,0.26604498443894314
0.4976884422110553,1.5635343538267996,5.060157642204136,5.060148469396932,2.9990005701090388,2.99899252261463,1.4045888759692853,1.4045835213847084,0.2988444234646538,0.29884956229630044,0.3577237726611583,0.3577228631012923
0.5026130653266332,1.5790055136283976,5.214183416000065,5.2141757277646965,2.9980886063645826,2.9980827339621343,1.3931053211755162,1.393098970720648,0.33545251818185745,0.33545808998333865,0.4875369702781079,0.4875359330985745
0.507537688442211,1.5944766734299953,5.419032962536307,5.419027886896657,2.9849334466690496,2.984930935666565,1.38340819577942,1.3834007798107306,0.37642028323213944,0.376426315672414,0.6742710368556986,0.6742698557469473
0.512462311557789,1.6099478332315935,5.701959468976871,5.701958723732636,2.957911628896414,2.9579142661413638,1.3752880657849587,1.3752795089473069,0.422260157354642,0.42226667777617294,0.9464996169408566,0.9464982708677928
0.5173869346733668,1.6254189930331915,6.10321748658597,6.103223695228298,2.915400708306615,2.915411203028548,1.3685580310868537,1.3685482520810115,0.47354288202382844,0.4735499167805636,1.3457158651686723,1.345714323338175
0.5223115577889448,1.6408901528347897,6.6739363891504855,6.673953432489144,2.8558883636367147,2.8559107102922128,1.3630502102590012,1.363039121585908,0.5309028691956676,0.5309104428027899,1.9240949460591024,1.9240931578082343
0.5272361809045226,1.6563613126363874,7.451895369428907,7.451928378359087,2.7781150296357096,2.7781545183644303,1.3586127536926262,1.3586002613778172,0.5950434134583916,0.595051547509192,2.72012417264218,2.7201220511076474
0.5321608040201006,1.6718324724379856,8.385410971954567,8.385464845891939,2.6812450755249415,2.6813068250381074,1.3551072953753316,1.3550932986779267,0.666741384224373,0.6667500960202364,3.682317216829921,3.6823146261556667
0.5370854271356784,1.6873036322395834,9.22687082428905,9.226946163409298,2.5650521703288884,2.565137035673553,1.3524067675029774,1.3523911586151005,0.7468508546740671,0.7468601555026798,4.562561031783117,4.562557813617966
0.5420100502512564,1.7027747920411815,9.605637960839067,9.605727369693835,2.4300906140565477,2.4301914019883037,1.3503935141612322,1.350376177905728,0.8363048765764538,0.8363147695609925,4.988848956044833,4.988845020238811
